model,split,accuracy,f1,roc_auc,pr_auc,brier
cost_risk_1m,train,0.9939404432132964,0.9877408056042032,0.9955206933916706,0.9930359347321412,0.006069126699849082
cost_risk_1m,validation,0.9972972972972973,0.9949531362653208,0.996379219313258,0.995646994361121,0.002833681278000265
cost_risk_1m,test,0.9883805374001452,0.9782016348773842,0.9811467268260596,0.9689436402427196,0.011504016726910177
schedule_risk_1m,train,0.5,0.19911259012756516,0.9210297136983769,0.5288424757598214,0.13622368529383275
schedule_risk_1m,validation,0.7231660231660232,0.6900129701686122,0.7855161253034332,0.5785280578008957,0.2225650118397552
schedule_risk_1m,test,0.6103848946986202,0.42925531914893617,0.7861011379743965,0.46343550661300864,0.1719583537865002
combined_risk_1m,train,0.8438365650969529,0.7823359073359073,0.9800965926057544,0.9709910620171225,0.0725926234016728
combined_risk_1m,validation,0.8424710424710424,0.8434382194934766,0.9131389980122084,0.920778316914063,0.13722219229212773
combined_risk_1m,test,0.8202614379084967,0.7919293820933165,0.9223769181094131,0.9109147982218028,0.10784176260171847
